abbreviation	lipidmaps_category	chebi_id	chebi_name	pathway_id	pathway_name	msigdb_name	n_compounds	n_pathway_compounds	n_descendants	specificity
LPS	GP	CHEBI:68510	lysophosphatidylserine	R-MMU-1483257	Phospholipid metabolism	REACTOME_PHOSPHOLIPID_METABOLISM	2	98	62	0.0204
MG	GL	CHEBI:17408	monoacylglycerol	R-MMU-114508	Effects of PIP2 hydrolysis	REACTOME_EFFECTS_OF_PIP2_HYDROLYSIS	2	13	201	0.1538
MG	GL	CHEBI:17408	monoacylglycerol	R-MMU-76002	Platelet activation, signaling and aggregation	REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	2	36	201	0.0556
MG	GL	CHEBI:17408	monoacylglycerol	R-MMU-75109	Triglyceride biosynthesis	REACTOME_TRIGLYCERIDE_BIOSYNTHESIS	1	19	201	0.0526
MG	GL	CHEBI:17408	monoacylglycerol	R-MMU-8979227	Triglyceride metabolism	REACTOME_TRIGLYCERIDE_METABOLISM	1	24	201	0.0417
MG	GL	CHEBI:17408	monoacylglycerol	R-MMU-1483166	Synthesis of PA	REACTOME_SYNTHESIS_OF_PA	1	26	201	0.0385
MG	GL	CHEBI:17408	monoacylglycerol	R-MMU-1483255	PI Metabolism	REACTOME_PI_METABOLISM	1	28	201	0.0357
MG	GL	CHEBI:17408	monoacylglycerol	R-MMU-1483206	Glycerophospholipid biosynthesis	REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS	3	88	201	0.0341
MG	GL	CHEBI:17408	monoacylglycerol	R-MMU-416476	G alpha (q) signalling events	REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS	2	64	201	0.0312
MG	GL	CHEBI:17408	monoacylglycerol	R-MMU-1483257	Phospholipid metabolism	REACTOME_PHOSPHOLIPID_METABOLISM	3	98	201	0.0306
MG	GL	CHEBI:17408	monoacylglycerol	R-MMU-8935690	Digestion	REACTOME_DIGESTION	1	44	201	0.0227
MG	GL	CHEBI:17408	monoacylglycerol	R-MMU-8963743	Digestion and absorption	REACTOME_DIGESTION_AND_ABSORPTION	1	46	201	0.0217
MG	GL	CHEBI:17408	monoacylglycerol	R-MMU-418594	G alpha (i) signalling events	REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	1	107	201	0.0093
MG	GL	CHEBI:17408	monoacylglycerol	R-MMU-500792	GPCR ligand binding	REACTOME_GPCR_LIGAND_BINDING	1	344	201	0.0029
PC	GP	CHEBI:64482	phosphatidylcholine	R-MMU-111996	Ca-dependent events	REACTOME_CA_DEPENDENT_EVENTS	2	13	1106	0.1538
PC	GP	CHEBI:64482	phosphatidylcholine	R-MMU-112040	G-protein mediated events	REACTOME_G_PROTEIN_MEDIATED_EVENTS	2	20	1106	0.1
PC	GP	CHEBI:64482	phosphatidylcholine	R-MMU-6811436	COPI-independent Golgi-to-ER retrograde traffic	REACTOME_COPI_INDEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC	1	10	1106	0.1
PC	GP	CHEBI:64482	phosphatidylcholine	R-MMU-8856688	Golgi-to-ER retrograde transport	REACTOME_GOLGI_TO_ER_RETROGRADE_TRANSPORT	1	10	1106	0.1
PC	GP	CHEBI:64482	phosphatidylcholine	R-MMU-111885	Opioid Signalling	REACTOME_OPIOID_SIGNALLING	2	22	1106	0.0909
PC	GP	CHEBI:64482	phosphatidylcholine	R-MMU-1369062	ABC transporters in lipid homeostasis	REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	1	11	1106	0.0909
PC	GP	CHEBI:64482	phosphatidylcholine	R-MMU-6811442	Intra-Golgi and retrograde Golgi-to-ER traffic	REACTOME_INTRA_GOLGI_AND_RETROGRADE_GOLGI_TO_ER_TRAFFIC	1	11	1106	0.0909
PC	GP	CHEBI:64482	phosphatidylcholine	R-MMU-1482788	Acyl chain remodelling of PC	REACTOME_ACYL_CHAIN_REMODELLING_OF_PC	1	13	1106	0.0769
PC	GP	CHEBI:64482	phosphatidylcholine	R-MMU-1482839	Acyl chain remodelling of PE	REACTOME_ACYL_CHAIN_REMODELLING_OF_PE	1	13	1106	0.0769
PC	GP	CHEBI:64482	phosphatidylcholine	R-MMU-5683826	Surfactant metabolism	REACTOME_SURFACTANT_METABOLISM	1	13	1106	0.0769
PC	GP	CHEBI:64482	phosphatidylcholine	R-MMU-2029485	Role of phospholipids in phagocytosis	REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	1	14	1106	0.0714
PC	GP	CHEBI:64482	phosphatidylcholine	R-MMU-8963899	Plasma lipoprotein remodeling	REACTOME_PLASMA_LIPOPROTEIN_REMODELING	1	16	1106	0.0625
PC	GP	CHEBI:64482	phosphatidylcholine	R-MMU-2029480	Fcgamma receptor (FCGR) dependent phagocytosis	REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	1	17	1106	0.0588
PC	GP	CHEBI:64482	phosphatidylcholine	R-MMU-174824	Plasma lipoprotein assembly, remodeling, and clearance	REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE	1	21	1106	0.0476
PC	GP	CHEBI:64482	phosphatidylcholine	R-MMU-1483166	Synthesis of PA	REACTOME_SYNTHESIS_OF_PA	1	26	1106	0.0385
PC	GP	CHEBI:64482	phosphatidylcholine	R-MMU-1483191	Synthesis of PC	REACTOME_SYNTHESIS_OF_PC	1	26	1106	0.0385
PC	GP	CHEBI:64482	phosphatidylcholine	R-MMU-1483255	PI Metabolism	REACTOME_PI_METABOLISM	1	28	1106	0.0357
PC	GP	CHEBI:64482	phosphatidylcholine	R-MMU-1660661	Sphingolipid de novo biosynthesis	REACTOME_SPHINGOLIPID_DE_NOVO_BIOSYNTHESIS	1	35	1106	0.0286
PC	GP	CHEBI:64482	phosphatidylcholine	R-MMU-6806667	Metabolism of fat-soluble vitamins	REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS	1	38	1106	0.0263
PC	GP	CHEBI:64482	phosphatidylcholine	R-MMU-2187338	Visual phototransduction	REACTOME_VISUAL_PHOTOTRANSDUCTION	1	53	1106	0.0189
PC	GP	CHEBI:64482	phosphatidylcholine	R-MMU-418594	G alpha (i) signalling events	REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	2	107	1106	0.0187
PC	GP	CHEBI:64482	phosphatidylcholine	R-MMU-2142753	Arachidonate metabolism	REACTOME_ARACHIDONATE_METABOLISM	2	117	1106	0.0171
PC	GP	CHEBI:64482	phosphatidylcholine	R-MMU-1483206	Glycerophospholipid biosynthesis	REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS	1	88	1106	0.0114
PC	GP	CHEBI:64482	phosphatidylcholine	R-MMU-1483257	Phospholipid metabolism	REACTOME_PHOSPHOLIPID_METABOLISM	1	98	1106	0.0102
PC	GP	CHEBI:64482	phosphatidylcholine	R-MMU-428157	Sphingolipid metabolism	REACTOME_SPHINGOLIPID_METABOLISM	1	117	1106	0.0085
PC	GP	CHEBI:64482	phosphatidylcholine	R-MMU-8978868	Fatty acid metabolism	REACTOME_FATTY_ACID_METABOLISM	2	256	1106	0.0078
PC	GP	CHEBI:64482	phosphatidylcholine	R-MMU-196854	Metabolism of vitamins and cofactors	REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS	1	183	1106	0.0055
PC	GP	CHEBI:64482	phosphatidylcholine	R-MMU-9709957	Sensory Perception	REACTOME_SENSORY_PERCEPTION	1	195	1106	0.0051
PE	GP	CHEBI:16038	phosphatidylethanolamine	R-MMU-1482839	Acyl chain remodelling of PE	REACTOME_ACYL_CHAIN_REMODELLING_OF_PE	1	13	1178	0.0769
PE	GP	CHEBI:16038	phosphatidylethanolamine	R-MMU-1483206	Glycerophospholipid biosynthesis	REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS	1	88	1178	0.0114
PE	GP	CHEBI:16038	phosphatidylethanolamine	R-MMU-1483257	Phospholipid metabolism	REACTOME_PHOSPHOLIPID_METABOLISM	1	98	1178	0.0102
PG	GP	CHEBI:17517	phosphatidylglycerol	R-MMU-111471	Apoptotic factor-mediated response	REACTOME_APOPTOTIC_FACTOR_MEDIATED_RESPONSE	1	3	516	0.3333
PG	GP	CHEBI:17517	phosphatidylglycerol	R-MMU-5620971	Pyroptosis	REACTOME_PYROPTOSIS	1	7	516	0.1429
PG	GP	CHEBI:17517	phosphatidylglycerol	R-MMU-9864848	Complex IV assembly	REACTOME_COMPLEX_IV_ASSEMBLY	1	9	516	0.1111
PG	GP	CHEBI:17517	phosphatidylglycerol	R-MMU-109606	Intrinsic Pathway for Apoptosis	REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS	1	9	516	0.1111
PG	GP	CHEBI:17517	phosphatidylglycerol	R-MMU-109581	Apoptosis	REACTOME_APOPTOSIS	1	13	516	0.0769
PG	GP	CHEBI:17517	phosphatidylglycerol	R-MMU-5218859	Regulated Necrosis	REACTOME_REGULATED_NECROSIS	1	17	516	0.0588
PG	GP	CHEBI:17517	phosphatidylglycerol	R-MMU-1483166	Synthesis of PA	REACTOME_SYNTHESIS_OF_PA	1	26	516	0.0385
PG	GP	CHEBI:17517	phosphatidylglycerol	R-MMU-5357801	Programmed Cell Death	REACTOME_PROGRAMMED_CELL_DEATH	1	27	516	0.037
PG	GP	CHEBI:17517	phosphatidylglycerol	R-MMU-9707564	Cytoprotection by HMOX1	REACTOME_CYTOPROTECTION_BY_HMOX1	1	29	516	0.0345
PG	GP	CHEBI:17517	phosphatidylglycerol	R-MMU-5628897	TP53 Regulates Metabolic Genes	REACTOME_TP53_REGULATES_METABOLIC_GENES	1	31	516	0.0323
PG	GP	CHEBI:17517	phosphatidylglycerol	R-MMU-611105	Respiratory electron transport	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	1	33	516	0.0303
PG	GP	CHEBI:17517	phosphatidylglycerol	R-MMU-3700989	Transcriptional Regulation by TP53	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53	1	41	516	0.0244
PG	GP	CHEBI:17517	phosphatidylglycerol	R-MMU-1483206	Glycerophospholipid biosynthesis	REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS	2	88	516	0.0227
PG	GP	CHEBI:17517	phosphatidylglycerol	R-MMU-9711123	Cellular response to chemical stress	REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS	1	48	516	0.0208
PG	GP	CHEBI:17517	phosphatidylglycerol	R-MMU-1483257	Phospholipid metabolism	REACTOME_PHOSPHOLIPID_METABOLISM	2	98	516	0.0204
PG	GP	CHEBI:17517	phosphatidylglycerol	R-MMU-1428517	Aerobic respiration and respiratory electron transport	REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	1	93	516	0.0108
PI	GP	CHEBI:28874	phosphatidylinositol	R-MMU-163125	Post-translational modification: synthesis of GPI-anchored proteins	REACTOME_POST_TRANSLATIONAL_MODIFICATION_SYNTHESIS_OF_GPI_ANCHORED_PROTEINS	4	23	539	0.1739
PI	GP	CHEBI:28874	phosphatidylinositol	R-MMU-2730905	Role of LAT2/NTAL/LAB on calcium mobilization	REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	1	6	539	0.1667
PI	GP	CHEBI:28874	phosphatidylinositol	R-MMU-1660514	Synthesis of PIPs at the Golgi membrane	REACTOME_SYNTHESIS_OF_PIPS_AT_THE_GOLGI_MEMBRANE	2	14	539	0.1429
PI	GP	CHEBI:28874	phosphatidylinositol	R-MMU-5620971	Pyroptosis	REACTOME_PYROPTOSIS	1	7	539	0.1429
PI	GP	CHEBI:28874	phosphatidylinositol	R-MMU-201681	TCF dependent signaling in response to WNT	REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT	1	7	539	0.1429
PI	GP	CHEBI:28874	phosphatidylinositol	R-MMU-1660516	Synthesis of PIPs at the early endosome membrane	REACTOME_SYNTHESIS_OF_PIPS_AT_THE_EARLY_ENDOSOME_MEMBRANE	2	15	539	0.1333
PI	GP	CHEBI:28874	phosphatidylinositol	R-MMU-2871837	FCERI mediated NF-kB activation	REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	1	8	539	0.125
PI	GP	CHEBI:28874	phosphatidylinositol	R-MMU-8856828	Clathrin-mediated endocytosis	REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS	2	17	539	0.1176
PI	GP	CHEBI:28874	phosphatidylinositol	R-MMU-1660499	Synthesis of PIPs at the plasma membrane	REACTOME_SYNTHESIS_OF_PIPS_AT_THE_PLASMA_MEMBRANE	2	17	539	0.1176
PI	GP	CHEBI:28874	phosphatidylinositol	R-MMU-1482801	Acyl chain remodelling of PS	REACTOME_ACYL_CHAIN_REMODELLING_OF_PS	1	9	539	0.1111
PI	GP	CHEBI:28874	phosphatidylinositol	R-MMU-1483255	PI Metabolism	REACTOME_PI_METABOLISM	3	28	539	0.1071
PI	GP	CHEBI:28874	phosphatidylinositol	R-MMU-202424	Downstream TCR signaling	REACTOME_DOWNSTREAM_TCR_SIGNALING	1	10	539	0.1
PI	GP	CHEBI:28874	phosphatidylinositol	R-MMU-198933	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	1	11	539	0.0909
PI	GP	CHEBI:28874	phosphatidylinositol	R-MMU-446652	Interleukin-1 family signaling	REACTOME_INTERLEUKIN_1_FAMILY_SIGNALING	1	11	539	0.0909
PI	GP	CHEBI:28874	phosphatidylinositol	R-MMU-202403	TCR signaling	REACTOME_TCR_SIGNALING	1	11	539	0.0909
PI	GP	CHEBI:28874	phosphatidylinositol	R-MMU-199418	Negative regulation of the PI3K/AKT network	REACTOME_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK	1	12	539	0.0833
PI	GP	CHEBI:28874	phosphatidylinositol	R-MMU-1632852	Macroautophagy	REACTOME_MACROAUTOPHAGY	1	13	539	0.0769
PI	GP	CHEBI:28874	phosphatidylinositol	R-MMU-5213460	RIPK1-mediated regulated necrosis	REACTOME_RIPK1_MEDIATED_REGULATED_NECROSIS	1	13	539	0.0769
PI	GP	CHEBI:28874	phosphatidylinositol	R-MMU-5607764	CLEC7A (Dectin-1) signaling	REACTOME_CLEC7A_DECTIN_1_SIGNALING	1	15	539	0.0667
PI	GP	CHEBI:28874	phosphatidylinositol	R-MMU-2454202	Fc epsilon receptor (FCERI) signaling	REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING	1	17	539	0.0588
PI	GP	CHEBI:28874	phosphatidylinositol	R-MMU-2029480	Fcgamma receptor (FCGR) dependent phagocytosis	REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	1	17	539	0.0588
PI	GP	CHEBI:28874	phosphatidylinositol	R-MMU-5218859	Regulated Necrosis	REACTOME_REGULATED_NECROSIS	1	17	539	0.0588
PI	GP	CHEBI:28874	phosphatidylinositol	R-MMU-5686938	Regulation of TLR by endogenous ligand	REACTOME_REGULATION_OF_TLR_BY_ENDOGENOUS_LIGAND	1	19	539	0.0526
PI	GP	CHEBI:28874	phosphatidylinositol	R-MMU-449147	Signaling by Interleukins	REACTOME_SIGNALING_BY_INTERLEUKINS	1	19	539	0.0526
PI	GP	CHEBI:28874	phosphatidylinositol	R-MMU-195721	Signaling by WNT	REACTOME_SIGNALING_BY_WNT	1	19	539	0.0526
PI	GP	CHEBI:28874	phosphatidylinositol	R-MMU-9006925	Intracellular signaling by second messengers	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	1	22	539	0.0455
PI	GP	CHEBI:28874	phosphatidylinositol	R-MMU-5357801	Programmed Cell Death	REACTOME_PROGRAMMED_CELL_DEATH	1	27	539	0.037
PI	GP	CHEBI:28874	phosphatidylinositol	R-MMU-1474244	Extracellular matrix organization	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	1	30	539	0.0333
PI	GP	CHEBI:28874	phosphatidylinositol	R-MMU-1483257	Phospholipid metabolism	REACTOME_PHOSPHOLIPID_METABOLISM	3	98	539	0.0306
PI	GP	CHEBI:28874	phosphatidylinositol	R-MMU-168898	Toll-like Receptor Cascades	REACTOME_TOLL_LIKE_RECEPTOR_CASCADES	1	33	539	0.0303
PI	GP	CHEBI:28874	phosphatidylinositol	R-MMU-1280215	Cytokine Signaling in Immune system	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	1	55	539	0.0182
PI	GP	CHEBI:28874	phosphatidylinositol	R-MMU-192105	Synthesis of bile acids and bile salts	REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS	1	71	539	0.0141
PI	GP	CHEBI:28874	phosphatidylinositol	R-MMU-194068	Bile acid and bile salt metabolism	REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM	1	72	539	0.0139
PI	GP	CHEBI:28874	phosphatidylinositol	R-MMU-1483206	Glycerophospholipid biosynthesis	REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS	1	88	539	0.0114
PI	GP	CHEBI:28874	phosphatidylinositol	R-MMU-8957322	Metabolism of steroids	REACTOME_METABOLISM_OF_STEROIDS	1	183	539	0.0055
PS	GP	CHEBI:18303	phosphatidyl-L-serine	R-MMU-1169091	Activation of NF-kappaB in B cells	REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS	1	5	452	0.2
PS	GP	CHEBI:18303	phosphatidyl-L-serine	R-MMU-5099900	WNT5A-dependent internalization of FZD4	REACTOME_WNT5A_DEPENDENT_INTERNALIZATION_OF_FZD4	1	5	452	0.2
PS	GP	CHEBI:18303	phosphatidyl-L-serine	R-MMU-1250196	SHC1 events in ERBB2 signaling	REACTOME_SHC1_EVENTS_IN_ERBB2_SIGNALING	1	6	452	0.1667
PS	GP	CHEBI:18303	phosphatidyl-L-serine	R-MMU-399719	Trafficking of AMPA receptors	REACTOME_TRAFFICKING_OF_AMPA_RECEPTORS	1	6	452	0.1667
PS	GP	CHEBI:18303	phosphatidyl-L-serine	R-MMU-416993	Trafficking of GluR2-containing AMPA receptors	REACTOME_TRAFFICKING_OF_GLUR2_CONTAINING_AMPA_RECEPTORS	1	6	452	0.1667
PS	GP	CHEBI:18303	phosphatidyl-L-serine	R-MMU-4086400	PCP/CE pathway	REACTOME_PCP_CE_PATHWAY	1	7	452	0.1429
PS	GP	CHEBI:18303	phosphatidyl-L-serine	R-MMU-1482801	Acyl chain remodelling of PS	REACTOME_ACYL_CHAIN_REMODELLING_OF_PS	1	9	452	0.1111
PS	GP	CHEBI:18303	phosphatidyl-L-serine	R-MMU-198933	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	1	11	452	0.0909
PS	GP	CHEBI:18303	phosphatidyl-L-serine	R-MMU-3858494	Beta-catenin independent WNT signaling	REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING	1	16	452	0.0625
PS	GP	CHEBI:18303	phosphatidyl-L-serine	R-MMU-195721	Signaling by WNT	REACTOME_SIGNALING_BY_WNT	1	19	452	0.0526
PS	GP	CHEBI:18303	phosphatidyl-L-serine	R-MMU-1227986	Signaling by ERBB2	REACTOME_SIGNALING_BY_ERBB2	1	22	452	0.0455
PS	GP	CHEBI:18303	phosphatidyl-L-serine	R-MMU-936837	Ion transport by P-type ATPases	REACTOME_ION_TRANSPORT_BY_P_TYPE_ATPASES	1	29	452	0.0345
PS	GP	CHEBI:18303	phosphatidyl-L-serine	R-MMU-112314	Neurotransmitter receptors and postsynaptic signal transmission	REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION	1	30	452	0.0333
PS	GP	CHEBI:18303	phosphatidyl-L-serine	R-MMU-2173782	Binding and Uptake of Ligands by Scavenger Receptors	REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	1	36	452	0.0278
PS	GP	CHEBI:18303	phosphatidyl-L-serine	R-MMU-76002	Platelet activation, signaling and aggregation	REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	1	36	452	0.0278
PS	GP	CHEBI:18303	phosphatidyl-L-serine	R-MMU-983712	Ion channel transport	REACTOME_ION_CHANNEL_TRANSPORT	1	50	452	0.02
PS	GP	CHEBI:18303	phosphatidyl-L-serine	R-MMU-1483206	Glycerophospholipid biosynthesis	REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS	1	88	452	0.0114
PS	GP	CHEBI:18303	phosphatidyl-L-serine	R-MMU-9006934	Signaling by Receptor Tyrosine Kinases	REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES	1	90	452	0.0111
PS	GP	CHEBI:18303	phosphatidyl-L-serine	R-MMU-1483257	Phospholipid metabolism	REACTOME_PHOSPHOLIPID_METABOLISM	1	98	452	0.0102
PS	GP	CHEBI:18303	phosphatidyl-L-serine	R-MMU-112315	Transmission across Chemical Synapses	REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	1	124	452	0.0081
PS	GP	CHEBI:18303	phosphatidyl-L-serine	R-MMU-112316	Neuronal System	REACTOME_NEURONAL_SYSTEM	1	126	452	0.0079
SHexCer	SP	CHEBI:36477	sulfoglycosphingolipid	R-MMU-198933	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	1	11	27	0.0909
SM	SP	CHEBI:64583	sphingomyelin	R-MMU-1369062	ABC transporters in lipid homeostasis	REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	1	11	322	0.0909
SM	SP	CHEBI:64583	sphingomyelin	R-MMU-1660661	Sphingolipid de novo biosynthesis	REACTOME_SPHINGOLIPID_DE_NOVO_BIOSYNTHESIS	1	35	322	0.0286
SM	SP	CHEBI:64583	sphingomyelin	R-MMU-9840310	Glycosphingolipid catabolism	REACTOME_GLYCOSPHINGOLIPID_CATABOLISM	1	38	322	0.0263
SM	SP	CHEBI:64583	sphingomyelin	R-MMU-428157	Sphingolipid metabolism	REACTOME_SPHINGOLIPID_METABOLISM	2	117	322	0.0171
SM	SP	CHEBI:64583	sphingomyelin	R-MMU-1660662	Glycosphingolipid metabolism	REACTOME_GLYCOSPHINGOLIPID_METABOLISM	1	79	322	0.0127
ST	ST	CHEBI:15889	sterol	R-MMU-9024446	NR1H2 and NR1H3-mediated signaling	REACTOME_NR1H2_AND_NR1H3_MEDIATED_SIGNALING	3	4	215	0.75
ST	ST	CHEBI:15889	sterol	R-MMU-8963888	Chylomicron assembly	REACTOME_CHYLOMICRON_ASSEMBLY	1	4	215	0.25
ST	ST	CHEBI:15889	sterol	R-MMU-211976	Endogenous sterols	REACTOME_ENDOGENOUS_STEROLS	10	43	215	0.2326
ST	ST	CHEBI:15889	sterol	R-MMU-196108	Pregnenolone biosynthesis	REACTOME_PREGNENOLONE_BIOSYNTHESIS	3	13	215	0.2308
ST	ST	CHEBI:15889	sterol	R-MMU-4090294	SUMOylation of intracellular receptors	REACTOME_SUMOYLATION_OF_INTRACELLULAR_RECEPTORS	2	9	215	0.2222
ST	ST	CHEBI:15889	sterol	R-MMU-191273	Cholesterol biosynthesis	REACTOME_CHOLESTEROL_BIOSYNTHESIS	16	74	215	0.2162
ST	ST	CHEBI:15889	sterol	R-MMU-1369062	ABC transporters in lipid homeostasis	REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	2	11	215	0.1818
ST	ST	CHEBI:15889	sterol	R-MMU-432142	Platelet sensitization by LDL	REACTOME_PLATELET_SENSITIZATION_BY_LDL	1	6	215	0.1667
ST	ST	CHEBI:15889	sterol	R-MMU-193807	Synthesis of bile acids and bile salts via 27-hydroxycholesterol	REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_27_HYDROXYCHOLESTEROL	3	19	215	0.1579
ST	ST	CHEBI:15889	sterol	R-MMU-2990846	SUMOylation	REACTOME_SUMOYLATION	2	13	215	0.1538
ST	ST	CHEBI:15889	sterol	R-MMU-8963901	Chylomicron remodeling	REACTOME_CHYLOMICRON_REMODELING	1	7	215	0.1429
ST	ST	CHEBI:15889	sterol	R-MMU-5358346	Hedgehog ligand biogenesis	REACTOME_HEDGEHOG_LIGAND_BIOGENESIS	1	7	215	0.1429
ST	ST	CHEBI:15889	sterol	R-MMU-8957322	Metabolism of steroids	REACTOME_METABOLISM_OF_STEROIDS	25	183	215	0.1366
ST	ST	CHEBI:15889	sterol	R-MMU-193775	Synthesis of bile acids and bile salts via 24-hydroxycholesterol	REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_24_HYDROXYCHOLESTEROL	3	25	215	0.12
ST	ST	CHEBI:15889	sterol	R-MMU-192105	Synthesis of bile acids and bile salts	REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS	8	71	215	0.1127
ST	ST	CHEBI:15889	sterol	R-MMU-194068	Bile acid and bile salt metabolism	REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM	8	72	215	0.1111
ST	ST	CHEBI:15889	sterol	R-MMU-6809371	Formation of the cornified envelope	REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	1	9	215	0.1111
ST	ST	CHEBI:15889	sterol	R-MMU-6805567	Keratinization	REACTOME_KERATINIZATION	1	9	215	0.1111
ST	ST	CHEBI:15889	sterol	R-MMU-8964038	LDL clearance	REACTOME_LDL_CLEARANCE	1	9	215	0.1111
ST	ST	CHEBI:15889	sterol	R-MMU-8964043	Plasma lipoprotein clearance	REACTOME_PLASMA_LIPOPROTEIN_CLEARANCE	1	9	215	0.1111
ST	ST	CHEBI:15889	sterol	R-MMU-5686938	Regulation of TLR by endogenous ligand	REACTOME_REGULATION_OF_TLR_BY_ENDOGENOUS_LIGAND	2	19	215	0.1053
ST	ST	CHEBI:15889	sterol	R-MMU-8856825	Cargo recognition for clathrin-mediated endocytosis	REACTOME_CARGO_RECOGNITION_FOR_CLATHRIN_MEDIATED_ENDOCYTOSIS	1	11	215	0.0909
ST	ST	CHEBI:15889	sterol	R-MMU-9707616	Heme signaling	REACTOME_HEME_SIGNALING	1	11	215	0.0909
ST	ST	CHEBI:15889	sterol	R-MMU-202733	Cell surface interactions at the vascular wall	REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	1	12	215	0.0833
ST	ST	CHEBI:15889	sterol	R-MMU-8963898	Plasma lipoprotein assembly	REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY	1	12	215	0.0833
ST	ST	CHEBI:15889	sterol	R-MMU-5358351	Signaling by Hedgehog	REACTOME_SIGNALING_BY_HEDGEHOG	1	12	215	0.0833
ST	ST	CHEBI:15889	sterol	R-MMU-211897	Cytochrome P450 - arranged by substrate type	REACTOME_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE	10	128	215	0.0781
ST	ST	CHEBI:15889	sterol	R-MMU-196071	Metabolism of steroid hormones	REACTOME_METABOLISM_OF_STEROID_HORMONES	3	48	215	0.0625
ST	ST	CHEBI:15889	sterol	R-MMU-8963899	Plasma lipoprotein remodeling	REACTOME_PLASMA_LIPOPROTEIN_REMODELING	1	16	215	0.0625
